bfenr,grundindeks,antalgrunde,grundid,husnummerid,antalbygninger,bygningnr,bygningsid
6017442,1,1,90c59c6e-884c-4077-80d9-9de086a114cf,0a3f507a-404d-32b8-e044-0003ba298018,1,1,e6d42b68-cff4-4ecb-a0a0-7a648dbf71e5
6015060,2,1,4096253f-fcb5-4b11-9d30-a4385554da43,0a3f507a-406d-32b8-e044-0003ba298018,1,1,52b86f67-c94f-4d62-8338-6d6246937aa4
6015060,2,2,5cce85e7-5772-4af9-879a-c904751c00da,0a3f507a-406d-32b8-e044-0003ba298018,1,1,52b86f67-c94f-4d62-8338-6d6246937aa4
8237613,1,1,133ef4ef-4bbb-4f22-bd9c-66bf9d0c8130,0a3f507a-a4ba-32b8-e044-0003ba298018,1,1,a5344a09-7a91-415a-ae98-31cf09cd6bce
8221759,1,1,07bd509c-86cc-4eb6-aa4e-db63c057c1fb,0a3f507a-a8c3-32b8-e044-0003ba298018,1,1,09b17653-f8a8-4178-b472-419ba97705fe
6020548,1,1,0492f124-1932-45f6-97df-24c8addd46e1,0a3f507a-4173-32b8-e044-0003ba298018,1,1,280cc1e2-6dda-4cee-8506-a7ea7640dbda
6020529,1,1,82e1d45d-a74e-4ee8-9d4f-ab85f25ff972,0a3f507a-4188-32b8-e044-0003ba298018,1,1,49beaffb-15f4-40c9-81f5-99df73b52570
8243784,1,1,a091a40f-4c41-442a-9a5f-6d39ff3b8fe5,0a3f507a-bb2f-32b8-e044-0003ba298018,1,1,c18d5dbf-6126-451a-8380-2a5a0d8a8d62
8243789,1,1,dce7e8e5-afc1-47fc-89ee-ad5835414e13,0a3f507a-bb35-32b8-e044-0003ba298018,1,1,35084bf6-9f9e-4988-a901-efea9b06be6d
8257957,2,1,4fecd59a-4a7f-4202-9708-57f6d02a67d4,0a3f507a-687b-32b8-e044-0003ba298018,1,1,35d29928-2ab0-4e1f-b098-665c8523d919
8257957,2,2,5a75ef6f-6100-4494-9ec3-c576e4df3ae8,0a3f507a-687b-32b8-e044-0003ba298018,1,1,35d29928-2ab0-4e1f-b098-665c8523d919
